,open,high,low,close,volume,date
2021-09-29 01:11:00,482.9,482.9,481.8,482.9,33.0,2021-09-29
2021-09-29 01:10:00,481.2,483.4,481.2,482.5,447.0,2021-09-29
2021-09-29 01:09:00,480.7,481.2,480.4,481.2,18.0,2021-09-29
2021-09-29 01:08:00,480.0,481.1,480.0,480.7,282.0,2021-09-29
2021-09-29 01:07:00,479.4,480.0,479.4,480.0,33.0,2021-09-29
2021-09-29 01:06:00,479.0,479.3,479.0,479.2,9.0,2021-09-29
2021-09-29 01:05:00,479.6,480.0,479.0,479.0,42.0,2021-09-29
2021-09-29 01:04:00,479.4,479.8,479.2,479.7,42.0,2021-09-29
2021-09-29 01:03:00,478.9,479.5,478.7,479.1,56.0,2021-09-29
2021-09-29 01:02:00,478.1,478.9,478.1,478.9,31.0,2021-09-29
2021-09-29 01:01:00,479.2,479.2,477.8,478.4,86.0,2021-09-29
2021-09-29 01:00:00,479.2,479.3,479.1,479.3,50.0,2021-09-29
2021-09-29 00:59:00,478.6,479.0,478.5,479.0,42.0,2021-09-29
2021-09-29 00:58:00,479.4,479.5,478.7,478.7,63.0,2021-09-29
2021-09-29 00:57:00,479.5,479.7,479.3,479.5,24.0,2021-09-29
2021-09-29 00:56:00,479.6,479.7,479.0,479.1,14.0,2021-09-29
2021-09-29 00:55:00,479.2,479.5,478.6,479.5,63.0,2021-09-29
2021-09-29 00:54:00,478.7,479.2,478.7,479.2,9.0,2021-09-29
2021-09-29 00:53:00,478.2,478.9,478.2,478.7,111.0,2021-09-29
2021-09-29 00:52:00,477.1,478.2,477.1,478.2,38.0,2021-09-29
2021-09-29 00:51:00,476.6,477.7,476.5,477.1,81.0,2021-09-29
2021-09-29 00:50:00,476.6,477.0,476.6,476.6,41.0,2021-09-29
2021-09-29 00:49:00,477.4,477.8,476.6,476.6,83.0,2021-09-29
2021-09-29 00:48:00,477.9,478.1,477.3,477.3,48.0,2021-09-29
2021-09-29 00:47:00,479.1,479.1,477.9,477.9,68.0,2021-09-29
2021-09-29 00:46:00,479.2,479.3,478.9,479.1,8.0,2021-09-29
2021-09-29 00:45:00,479.0,479.2,478.8,479.2,35.0,2021-09-29
2021-09-29 00:44:00,479.3,479.6,478.9,479.3,70.0,2021-09-29
2021-09-29 00:43:00,479.6,479.9,478.9,479.2,60.0,2021-09-29
2021-09-29 00:42:00,479.3,479.5,478.9,479.4,44.0,2021-09-29
2021-09-29 00:41:00,480.4,480.5,479.4,479.4,152.0,2021-09-29
2021-09-29 00:40:00,482.7,482.8,480.4,480.4,113.0,2021-09-29
2021-09-29 00:39:00,482.0,483.1,481.6,483.0,227.0,2021-09-29
2021-09-29 00:38:00,481.0,482.1,480.8,481.9,103.0,2021-09-29
2021-09-29 00:37:00,481.5,481.5,480.3,481.0,81.0,2021-09-29
2021-09-29 00:36:00,481.7,481.9,480.9,481.5,90.0,2021-09-29
2021-09-29 00:35:00,481.1,482.1,481.1,481.8,80.0,2021-09-29
2021-09-29 00:34:00,481.0,481.6,480.9,481.2,66.0,2021-09-29
2021-09-29 00:33:00,480.5,480.9,480.1,480.9,91.0,2021-09-29
2021-09-29 00:32:00,479.6,480.6,479.1,480.5,218.0,2021-09-29
2021-09-29 00:31:00,477.9,479.7,477.7,479.4,300.0,2021-09-29
2021-09-29 00:30:00,478.8,479.0,477.7,477.8,229.0,2021-09-29
2021-09-29 00:29:00,477.5,479.7,477.5,478.9,273.0,2021-09-29
2021-09-29 00:28:00,475.1,478.5,475.1,477.6,305.0,2021-09-29
2021-09-29 00:27:00,475.0,475.2,475.0,475.1,19.0,2021-09-29
2021-09-29 00:26:00,474.5,475.1,474.5,474.8,69.0,2021-09-29
2021-09-29 00:25:00,474.8,474.8,474.1,474.4,16.0,2021-09-29
2021-09-29 00:24:00,474.5,474.6,474.0,474.5,44.0,2021-09-29
2021-09-29 00:23:00,474.0,474.8,473.9,474.3,69.0,2021-09-29
2021-09-29 00:22:00,472.7,474.1,472.6,474.1,140.0,2021-09-29
2021-09-29 00:21:00,472.6,473.2,472.3,472.7,48.0,2021-09-29
2021-09-29 00:20:00,472.4,473.2,472.2,472.6,57.0,2021-09-29
2021-09-29 00:19:00,473.1,473.3,472.2,472.3,189.0,2021-09-29
2021-09-29 00:18:00,472.1,473.2,471.8,473.2,103.0,2021-09-29
2021-09-29 00:17:00,471.9,472.3,471.7,472.1,70.0,2021-09-29
2021-09-29 00:16:00,472.0,472.5,471.3,471.9,104.0,2021-09-29
2021-09-29 00:15:00,472.0,472.8,471.3,471.7,267.0,2021-09-29
2021-09-29 00:14:00,472.5,473.0,471.9,471.9,112.0,2021-09-29
2021-09-29 00:13:00,472.3,472.7,471.5,472.6,272.0,2021-09-29
2021-09-29 00:12:00,473.5,473.6,471.9,472.3,186.0,2021-09-29
2021-09-29 00:11:00,474.1,474.2,473.5,473.7,92.0,2021-09-29
2021-09-29 00:10:00,475.5,475.5,474.2,474.4,43.0,2021-09-29
2021-09-29 00:09:00,475.7,476.0,475.1,475.5,35.0,2021-09-29
2021-09-29 00:08:00,475.7,475.9,475.3,475.9,82.0,2021-09-29
2021-09-29 00:07:00,476.7,476.7,475.7,475.7,44.0,2021-09-29
2021-09-29 00:06:00,476.0,476.8,475.7,476.8,130.0,2021-09-29
2021-09-29 00:05:00,474.4,476.0,474.4,476.0,124.0,2021-09-29
2021-09-29 00:04:00,474.1,475.0,473.3,474.8,137.0,2021-09-29
2021-09-29 00:03:00,474.3,474.3,472.8,474.0,239.0,2021-09-29
2021-09-29 00:02:00,473.6,474.4,473.6,474.3,302.0,2021-09-29
2021-09-29 00:01:00,473.8,474.4,473.6,473.6,258.0,2021-09-29
2021-09-29 00:00:00,474.0,474.0,473.5,473.6,90.0,2021-09-29
2021-09-28 23:59:00,473.9,474.6,473.6,474.2,238.0,2021-09-28
2021-09-28 23:58:00,473.3,474.2,473.1,474.0,109.0,2021-09-28
2021-09-28 23:57:00,473.9,474.1,473.3,473.3,46.0,2021-09-28
2021-09-28 23:56:00,474.6,474.6,473.8,473.9,5.0,2021-09-28
2021-09-28 23:55:00,474.3,474.7,474.0,474.3,60.0,2021-09-28
2021-09-28 23:54:00,474.5,474.5,473.7,474.2,73.0,2021-09-28
2021-09-28 23:53:00,473.6,474.9,473.6,474.4,122.0,2021-09-28
2021-09-28 23:52:00,472.7,473.7,472.7,473.5,46.0,2021-09-28
2021-09-28 23:51:00,473.2,473.6,472.6,472.9,60.0,2021-09-28
2021-09-28 23:50:00,473.7,473.8,472.2,473.3,286.0,2021-09-28
2021-09-28 23:49:00,473.7,474.7,473.3,473.8,202.0,2021-09-28
2021-09-28 23:48:00,475.1,475.1,473.2,473.6,157.0,2021-09-28
2021-09-28 23:47:00,475.1,475.4,474.7,475.0,51.0,2021-09-28
2021-09-28 23:46:00,475.9,475.9,474.9,475.0,233.0,2021-09-28
2021-09-28 23:45:00,475.2,476.0,475.0,476.0,175.0,2021-09-28
2021-09-28 23:44:00,475.8,476.0,474.7,475.1,253.0,2021-09-28
2021-09-28 23:43:00,478.5,478.5,474.8,476.0,840.0,2021-09-28
2021-09-28 23:42:00,478.5,478.8,478.3,478.4,65.0,2021-09-28
2021-09-28 23:41:00,478.6,478.6,478.4,478.4,19.0,2021-09-28
2021-09-28 23:40:00,478.5,478.8,478.3,478.8,11.0,2021-09-28
2021-09-28 23:39:00,479.1,479.1,478.3,478.5,147.0,2021-09-28
2021-09-28 23:38:00,478.8,479.1,478.6,479.1,67.0,2021-09-28
2021-09-28 23:37:00,479.1,479.3,478.7,479.0,38.0,2021-09-28
2021-09-28 23:36:00,479.3,479.7,478.8,479.1,116.0,2021-09-28
2021-09-28 23:35:00,479.6,479.9,479.3,479.5,4.0,2021-09-28
2021-09-28 23:34:00,480.0,480.0,479.6,479.6,44.0,2021-09-28
2021-09-28 23:33:00,480.7,480.9,480.1,480.2,48.0,2021-09-28
2021-09-28 23:32:00,480.4,480.7,480.4,480.7,15.0,2021-09-28
