,open,high,low,close,volume,date
2021-09-29 01:12:00,0.1984,0.1984,0.1984,0.1984,2509.0,2021-09-29
2021-09-29 01:11:00,0.1982,0.1984,0.1981,0.1983,198817.0,2021-09-29
2021-09-29 01:10:00,0.198,0.1983,0.1979,0.1982,1524139.0,2021-09-29
2021-09-29 01:09:00,0.1978,0.198,0.1977,0.198,163336.0,2021-09-29
2021-09-29 01:08:00,0.1975,0.1979,0.1975,0.1978,218057.0,2021-09-29
2021-09-29 01:07:00,0.1972,0.1974,0.1972,0.1973,252012.0,2021-09-29
2021-09-29 01:06:00,0.1971,0.1971,0.1969,0.197,696612.0,2021-09-29
2021-09-29 01:05:00,0.1972,0.1974,0.1969,0.197,692864.0,2021-09-29
2021-09-29 01:04:00,0.1972,0.1974,0.1971,0.1972,520463.0,2021-09-29
2021-09-29 01:03:00,0.1971,0.1974,0.1971,0.1973,174148.0,2021-09-29
2021-09-29 01:02:00,0.1969,0.1971,0.1968,0.1971,195890.0,2021-09-29
2021-09-29 01:01:00,0.1973,0.1973,0.1969,0.1969,489123.0,2021-09-29
2021-09-29 01:00:00,0.1972,0.1974,0.1972,0.1973,278995.0,2021-09-29
2021-09-29 00:59:00,0.1971,0.1973,0.1969,0.1973,775782.0,2021-09-29
2021-09-29 00:58:00,0.1974,0.1974,0.1971,0.1971,296764.0,2021-09-29
2021-09-29 00:57:00,0.1973,0.1975,0.1973,0.1974,138537.0,2021-09-29
2021-09-29 00:56:00,0.1971,0.1973,0.1971,0.1973,79012.0,2021-09-29
2021-09-29 00:55:00,0.1971,0.1972,0.1969,0.1972,194953.0,2021-09-29
2021-09-29 00:54:00,0.1969,0.1971,0.1968,0.1971,107181.0,2021-09-29
2021-09-29 00:53:00,0.1969,0.1972,0.1969,0.1969,577242.0,2021-09-29
2021-09-29 00:52:00,0.1965,0.197,0.1965,0.1969,263409.0,2021-09-29
2021-09-29 00:51:00,0.1965,0.1969,0.1965,0.1966,669299.0,2021-09-29
2021-09-29 00:50:00,0.1964,0.1966,0.1964,0.1966,255143.0,2021-09-29
2021-09-29 00:49:00,0.1967,0.1968,0.1962,0.1963,686469.0,2021-09-29
2021-09-29 00:48:00,0.1968,0.1969,0.1966,0.1967,167560.0,2021-09-29
2021-09-29 00:47:00,0.1972,0.1972,0.1968,0.1968,807412.0,2021-09-29
2021-09-29 00:46:00,0.1973,0.1973,0.1972,0.1972,20119.0,2021-09-29
2021-09-29 00:45:00,0.1974,0.1974,0.1972,0.1973,73498.0,2021-09-29
2021-09-29 00:44:00,0.1973,0.1975,0.1972,0.1973,47156.0,2021-09-29
2021-09-29 00:43:00,0.1973,0.1975,0.1972,0.1973,338594.0,2021-09-29
2021-09-29 00:42:00,0.1973,0.1974,0.1971,0.1973,266667.0,2021-09-29
2021-09-29 00:41:00,0.1975,0.1976,0.1973,0.1973,280383.0,2021-09-29
