,open,high,low,close,volume,date
2021-09-29 01:12:00,2859.2,2859.2,2858.82,2858.82,0.0,2021-09-29
2021-09-29 01:11:00,2858.74,2859.53,2854.38,2859.46,263.0,2021-09-29
2021-09-29 01:10:00,2856.67,2864.5,2855.04,2858.74,1001.0,2021-09-29
2021-09-29 01:09:00,2853.16,2856.99,2851.37,2856.67,279.0,2021-09-29
2021-09-29 01:08:00,2850.99,2855.54,2850.99,2853.17,298.0,2021-09-29
2021-09-29 01:07:00,2845.63,2852.71,2845.63,2850.99,305.0,2021-09-29
2021-09-29 01:06:00,2843.84,2846.02,2842.77,2845.63,95.0,2021-09-29
2021-09-29 01:05:00,2848.57,2853.46,2842.49,2843.85,325.0,2021-09-29
2021-09-29 01:04:00,2849.72,2852.45,2847.49,2848.56,284.0,2021-09-29
2021-09-29 01:03:00,2843.37,2850.17,2842.57,2849.73,235.0,2021-09-29
2021-09-29 01:02:00,2839.61,2843.77,2838.27,2843.22,201.0,2021-09-29
2021-09-29 01:01:00,2845.64,2846.0,2837.61,2839.62,170.0,2021-09-29
2021-09-29 01:00:00,2844.81,2849.63,2843.82,2845.64,269.0,2021-09-29
2021-09-29 00:59:00,2841.42,2844.82,2838.64,2844.82,138.0,2021-09-29
2021-09-29 00:58:00,2846.24,2847.5,2841.0,2841.42,237.0,2021-09-29
2021-09-29 00:57:00,2848.46,2850.64,2846.23,2846.23,118.0,2021-09-29
2021-09-29 00:56:00,2848.97,2850.23,2845.0,2848.46,213.0,2021-09-29
2021-09-29 00:55:00,2848.89,2849.72,2844.48,2848.97,271.0,2021-09-29
2021-09-29 00:54:00,2842.89,2848.96,2842.2,2848.89,146.0,2021-09-29
2021-09-29 00:53:00,2841.58,2850.0,2841.58,2843.08,1254.0,2021-09-29
2021-09-29 00:52:00,2833.32,2842.38,2833.12,2841.57,134.0,2021-09-29
2021-09-29 00:51:00,2829.14,2836.22,2829.14,2833.31,183.0,2021-09-29
2021-09-29 00:50:00,2825.59,2829.65,2825.59,2829.13,164.0,2021-09-29
2021-09-29 00:49:00,2829.82,2834.61,2825.03,2825.59,205.0,2021-09-29
2021-09-29 00:48:00,2831.43,2835.0,2829.38,2829.81,356.0,2021-09-29
2021-09-29 00:47:00,2840.31,2840.31,2831.07,2831.59,336.0,2021-09-29
2021-09-29 00:46:00,2840.1,2841.65,2839.43,2840.31,143.0,2021-09-29
2021-09-29 00:45:00,2840.99,2843.06,2839.61,2840.11,132.0,2021-09-29
2021-09-29 00:44:00,2841.42,2844.89,2840.48,2841.35,151.0,2021-09-29
2021-09-29 00:43:00,2841.24,2845.27,2839.43,2841.43,229.0,2021-09-29
2021-09-29 00:42:00,2840.82,2841.26,2837.0,2841.09,347.0,2021-09-29
2021-09-29 00:41:00,2845.94,2846.66,2840.82,2840.82,337.0,2021-09-29
2021-09-29 00:40:00,2856.78,2857.91,2845.84,2845.95,367.0,2021-09-29
2021-09-29 00:39:00,2857.19,2860.65,2851.48,2857.51,549.0,2021-09-29
2021-09-29 00:38:00,2851.35,2858.64,2848.23,2857.19,417.0,2021-09-29
2021-09-29 00:37:00,2851.43,2851.6,2845.05,2851.6,351.0,2021-09-29
2021-09-29 00:36:00,2855.63,2855.63,2846.19,2851.44,341.0,2021-09-29
2021-09-29 00:35:00,2845.9,2859.13,2845.41,2855.63,1152.0,2021-09-29
2021-09-29 00:34:00,2848.03,2851.16,2845.72,2845.76,614.0,2021-09-29
2021-09-29 00:33:00,2844.86,2848.03,2841.43,2848.02,368.0,2021-09-29
2021-09-29 00:32:00,2837.79,2846.35,2834.61,2845.32,849.0,2021-09-29
2021-09-29 00:31:00,2826.36,2839.44,2825.79,2837.96,935.0,2021-09-29
2021-09-29 00:30:00,2834.34,2835.08,2826.07,2826.71,765.0,2021-09-29
2021-09-29 00:29:00,2827.62,2839.97,2827.19,2834.33,1632.0,2021-09-29
2021-09-29 00:28:00,2815.07,2835.76,2815.07,2828.06,1379.0,2021-09-29
2021-09-29 00:27:00,2813.76,2815.4,2813.76,2815.07,165.0,2021-09-29
2021-09-29 00:26:00,2810.59,2815.31,2810.59,2813.76,233.0,2021-09-29
2021-09-29 00:25:00,2811.95,2813.34,2807.64,2810.79,155.0,2021-09-29
2021-09-29 00:24:00,2809.36,2811.95,2806.18,2811.95,437.0,2021-09-29
2021-09-29 00:23:00,2807.0,2809.79,2805.58,2809.36,200.0,2021-09-29
2021-09-29 00:22:00,2799.45,2807.34,2799.27,2807.01,338.0,2021-09-29
2021-09-29 00:21:00,2795.0,2801.59,2793.0,2799.2,285.0,2021-09-29
2021-09-29 00:20:00,2793.93,2799.76,2791.11,2794.99,430.0,2021-09-29
2021-09-29 00:19:00,2799.34,2801.69,2791.08,2793.64,687.0,2021-09-29
2021-09-29 00:18:00,2798.56,2800.58,2794.49,2799.71,550.0,2021-09-29
2021-09-29 00:17:00,2795.48,2799.55,2793.43,2798.7,378.0,2021-09-29
2021-09-29 00:16:00,2794.78,2798.69,2793.16,2795.72,416.0,2021-09-29
2021-09-29 00:15:00,2798.05,2806.13,2792.35,2794.78,1111.0,2021-09-29
2021-09-29 00:14:00,2799.79,2805.0,2795.95,2798.06,961.0,2021-09-29
2021-09-29 00:13:00,2800.54,2803.3,2791.71,2799.8,1629.0,2021-09-29
2021-09-29 00:12:00,2807.69,2808.47,2799.13,2800.54,653.0,2021-09-29
2021-09-29 00:11:00,2809.07,2811.33,2804.04,2807.7,360.0,2021-09-29
2021-09-29 00:10:00,2821.19,2821.19,2809.07,2809.07,244.0,2021-09-29
2021-09-29 00:09:00,2823.23,2823.88,2817.42,2821.19,161.0,2021-09-29
2021-09-29 00:08:00,2822.29,2824.33,2818.66,2823.23,186.0,2021-09-29
2021-09-29 00:07:00,2826.36,2827.63,2821.29,2822.29,406.0,2021-09-29
2021-09-29 00:06:00,2823.06,2827.58,2820.67,2826.69,328.0,2021-09-29
2021-09-29 00:05:00,2819.53,2823.81,2818.05,2823.13,253.0,2021-09-29
2021-09-29 00:04:00,2818.04,2824.55,2812.21,2819.48,314.0,2021-09-29
2021-09-29 00:03:00,2820.16,2820.17,2809.07,2817.91,665.0,2021-09-29
2021-09-29 00:02:00,2811.36,2824.33,2810.37,2820.16,2327.0,2021-09-29
2021-09-29 00:01:00,2807.22,2816.6,2806.93,2811.95,702.0,2021-09-29
2021-09-29 00:00:00,2805.15,2807.58,2802.54,2807.11,521.0,2021-09-29
2021-09-28 23:59:00,2802.51,2808.55,2801.93,2804.91,454.0,2021-09-28
2021-09-28 23:58:00,2798.63,2806.72,2796.63,2802.51,264.0,2021-09-28
2021-09-28 23:57:00,2802.6,2804.72,2798.63,2798.63,282.0,2021-09-28
2021-09-28 23:56:00,2805.97,2807.94,2802.43,2802.61,242.0,2021-09-28
2021-09-28 23:55:00,2804.82,2808.45,2801.41,2806.11,1560.0,2021-09-28
2021-09-28 23:54:00,2803.46,2805.09,2800.17,2804.81,296.0,2021-09-28
2021-09-28 23:53:00,2798.74,2808.2,2798.74,2803.37,990.0,2021-09-28
2021-09-28 23:52:00,2792.95,2798.74,2792.36,2798.74,252.0,2021-09-28
2021-09-28 23:51:00,2794.41,2796.38,2790.14,2792.75,332.0,2021-09-28
2021-09-28 23:50:00,2796.98,2797.41,2790.45,2794.4,482.0,2021-09-28
2021-09-28 23:49:00,2793.58,2799.79,2793.55,2796.98,588.0,2021-09-28
2021-09-28 23:48:00,2798.73,2799.14,2789.0,2793.57,885.0,2021-09-28
2021-09-28 23:47:00,2799.04,2801.9,2795.54,2798.73,561.0,2021-09-28
2021-09-28 23:46:00,2807.5,2807.88,2797.78,2798.98,702.0,2021-09-28
2021-09-28 23:45:00,2800.57,2807.5,2799.33,2807.49,616.0,2021-09-28
2021-09-28 23:44:00,2798.09,2801.1,2793.58,2800.43,1027.0,2021-09-28
2021-09-28 23:43:00,2812.03,2813.88,2790.0,2798.09,7158.0,2021-09-28
2021-09-28 23:42:00,2811.93,2815.16,2810.68,2812.04,250.0,2021-09-28
2021-09-28 23:41:00,2812.0,2815.72,2811.25,2811.93,449.0,2021-09-28
2021-09-28 23:40:00,2812.99,2816.6,2811.99,2811.99,369.0,2021-09-28
2021-09-28 23:39:00,2817.66,2818.33,2810.82,2812.99,1519.0,2021-09-28
2021-09-28 23:38:00,2816.41,2817.97,2814.0,2817.66,325.0,2021-09-28
2021-09-28 23:37:00,2820.94,2821.53,2816.41,2816.47,266.0,2021-09-28
2021-09-28 23:36:00,2822.37,2823.72,2817.26,2820.94,721.0,2021-09-28
2021-09-28 23:35:00,2823.16,2826.84,2821.64,2822.38,252.0,2021-09-28
2021-09-28 23:34:00,2825.53,2826.95,2823.15,2823.15,234.0,2021-09-28
2021-09-28 23:33:00,2831.26,2832.0,2824.0,2825.53,327.0,2021-09-28
