,open,high,low,close,volume,date
2021-09-29 01:11:00,2265.0,2265.0,2260.0,2264.0,1.0,2021-09-29
2021-09-29 01:10:00,2263.0,2270.0,2261.0,2265.0,4.0,2021-09-29
2021-09-29 01:09:00,2259.0,2264.0,2259.0,2264.0,1.0,2021-09-29
2021-09-29 01:08:00,2259.0,2261.0,2259.0,2259.0,0.0,2021-09-29
2021-09-29 01:07:00,2253.0,2260.0,2253.0,2259.0,0.0,2021-09-29
2021-09-29 01:06:00,2253.0,2253.0,2253.0,2253.0,0.0,2021-09-29
2021-09-29 01:05:00,2255.0,2256.0,2253.0,2254.0,0.0,2021-09-29
2021-09-29 01:04:00,2253.0,2256.0,2253.0,2255.0,0.0,2021-09-29
2021-09-29 01:03:00,2251.0,2253.0,2251.0,2253.0,1.0,2021-09-29
2021-09-29 01:02:00,2250.0,2250.0,2250.0,2250.0,0.0,2021-09-29
2021-09-29 01:01:00,2251.0,2251.0,2246.0,2249.0,0.0,2021-09-29
2021-09-29 01:00:00,2253.0,2255.0,2251.0,2251.0,1.0,2021-09-29
2021-09-29 00:59:00,2249.0,2250.0,2247.0,2250.0,0.0,2021-09-29
2021-09-29 00:58:00,2252.0,2252.0,2248.0,2248.0,1.0,2021-09-29
2021-09-29 00:57:00,2254.0,2254.0,2252.0,2252.0,1.0,2021-09-29
2021-09-29 00:56:00,2253.0,2254.0,2252.0,2252.0,0.0,2021-09-29
2021-09-29 00:55:00,2252.0,2252.0,2250.0,2252.0,1.0,2021-09-29
2021-09-29 00:54:00,2249.0,2250.0,2249.0,2249.0,0.0,2021-09-29
2021-09-29 00:53:00,2248.0,2249.0,2247.0,2248.0,0.0,2021-09-29
2021-09-29 00:52:00,2240.0,2248.0,2240.0,2248.0,2.0,2021-09-29
2021-09-29 00:51:00,2237.0,2241.0,2237.0,2241.0,0.0,2021-09-29
2021-09-29 00:50:00,2237.0,2237.0,2235.0,2235.0,0.0,2021-09-29
2021-09-29 00:49:00,2242.0,2242.0,2236.0,2236.0,0.0,2021-09-29
2021-09-29 00:48:00,2244.0,2246.0,2241.0,2242.0,1.0,2021-09-29
2021-09-29 00:47:00,2248.0,2248.0,2245.0,2246.0,0.0,2021-09-29
